6	293529
12	106188
5	82351
3	77726
87	41167
4	32635
10	29663
18	23113
2	21865
1	20430
7	18119
24	11551
15	8981
8	4931
90	4473
20	2361
9	815
19	596
11	569
181	541
14	457
13	423
16	358
17	349
182	337
180	257
177	216
22	202
175	195
173	183
174	169
21	168
166	158
23	154
176	146
138	145
30	145
26	119
172	118
170	118
25	116
165	113
178	110
27	108
28	101
169	90
183	84
29	78
171	75
168	72
137	60
31	58
32	57
33	55
34	50
36	41
58	38
41	35
61	34
35	33
44	33
167	33
45	31
43	30
139	29
39	29
49	28
37	27
38	27
64	27
40	27
65	26
60	25
47	25
46	24
54	22
164	22
59	22
42	22
135	21
136	21
48	20
51	20
52	19
63	19
101	19
53	18
50	16
179	15
57	14
55	13
74	12
72	12
140	12
62	11
82	10
98	8
68	8
56	8
96	7
162	7
107	7
93	7
79	7
71	6
80	6
88	6
78	6
86	6
102	6
66	6
67	6
89	6
97	6
159	5
118	5
108	5
84	5
100	5
76	5
92	5
91	5
81	5
105	5
111	5
75	4
124	4
116	4
112	4
94	4
70	4
117	4
245	4
77	4
114	4
130	3
122	3
106	3
210	3
238	3
110	3
113	3
95	3
271	3
151	3
127	3
191	3
155	3
131	3
163	3
229	3
184	3
120	3
144	3
160	3
208	3
304	3
202	3
232	3
133	3
69	3
205	3
212	3
148	3
228	3
83	3
115	2
99	2
203	2
263	2
223	2
319	2
145	2
73	2
121	2
129	2
185	2
465	2
373	2
125	2
158	2
134	2
294	2
286	2
538	2
258	2
226	2
156	2
132	2
196	2
152	2
384	2
531	2
187	2
147	2
199	2
198	2
206	2
157	2
869	1
85	1
221	1
309	1
365	1
429	1
493	1
621	1
637	1
218	1
306	1
314	1
244	1
268	1
284	1
492	1
225	1
209	1
233	1
401	1
553	1
273	1
192	1
224	1
256	1
400	1
408	1
768	1
235	1
315	1
323	1
387	1
403	1
523	1
555	1
571	1
574	1
334	1
615	1
351	1
431	1
103	1
922	1
658	1
818	1
186	1
1010	1
330	1
154	1
282	1
402	1
146	1
310	1
150	1
526	1
285	1
189	1
237	1
341	1
349	1
357	1
325	1
239	1
143	1
279	1
252	1
476	1
660	1
456	1
4064	1
336	1
296	1
313	1
217	1
305	1
337	1
953	1
211	1
227	1
219	1
251	1
451	1
331	1
250	1
354	1
362	1
562	1
234	1
254	1
126	1
358	1
558	1
278	1
293	1
661	1
197	1
141	1
253	1
269	1
109	1
303	1
327	1
487	1
367	1
119	1
265	1
153	1
1009	1
128	1
992	1
448	1
204	1
236	1
380	1
460	1
540	1
339	1
803	1
299	1
491	1
